ID,Name,Year,Season,English,Japanese,Episodes,Broadcast,Source,Duration,Rating,Score,Members,Favorites,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
37890,Oshi ga Budoukan Ittekuretara Shinu,2020,winter,"If My Favorite Pop Idol Made It to the Budokan, I Would Die",推しが武道館いってくれたら死ぬ,12,Fridays at 01:28 (JST),Manga,24,None,7.27,14960,57,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
40148,22 7,2020,winter,22/7,22/7,12,Saturdays at 23:00 (JST),Other,24,None,6.56,14912,46,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
39583,number24,2020,winter,number24,number24 ナンバー・トゥーフォー,12,Wednesdays at 22:30 (JST),Original,23,None,6.14,11785,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
37870,BanG Dream 3rd Season,2020,winter,,BanG Dream!（バンドリ！）第3期,,Thursdays at 23:00 (JST),Manga,23,PG-13 - Teens 13 or older,7.76,10534,85,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
39942,Uchi Tama Uchi no Tama Shirimasen ka,2020,winter,Uchitama?! Have you seen my Tama?,うちタマ?!~うちのタマ知りませんか?~,11,Fridays at 00:55 (JST),Original,23,None,6.42,9135,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
40136,Oda Cinnamon Nobunaga,2020,winter,Oda Cinnamon Nobunaga,織田シナモン信長,12,Saturdays at 01:23 (JST),Manga,23,PG-13 - Teens 13 or older,6.08,8804,10,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
39960,Yatogame-chan Kansatsu Nikki Nisatsume,2020,winter,Yatogame-chan Kansatsu Nikki 2,八十亀ちゃんかんさつにっき 2さつめ,,Sundays at 21:54 (JST),4-koma manga,3,PG-13 - Teens 13 or older,6.39,7423,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,
39184,A3 Season Spring Summer,2020,winter,A3! Season Spring & Summer,A3! SEASON SPRING & SUMMER,,Tuesdays at 00:00 (JST),Game,23,PG-13 - Teens 13 or older,6.43,7148,66,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
37962,IDOLiSH7 Second Beat,2020,winter,,アイドリッシュセブン Second BEAT!,,Unknown,Game,25,PG-13 - Teens 13 or older,7.43,6669,56,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40763,Show By Rock Mashumairesh,2020,winter,SHOW BY ROCK!! Mashumairesh!!,SHOW BY ROCK!!ましゅまいれっしゅ!!,12,Thursdays at 22:30 (JST),Game,23,PG - Children,6.41,5708,12,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40850,Breakers,2020,winter,Breakers,ブレーカーズ,,Tuesdays at 18:45 (JST),Original,8,PG-13 - Teens 13 or older,6.1,4494,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
40137,ARP Backstage Pass,2020,winter,,ARP Backstage Pass,11,Mondays at 23:00 (JST),Unknown,23,None,5.17,2932,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40610,Healin Good♡Precure,2020,winter,,ヒーリングっど♥プリキュア,,Sundays at 08:30 (JST),Original,24,G - All Ages,7.16,2451,13,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
40995,Hentatsu TV,2020,winter,,へんたつ,,Saturdays at 23:57 (JST),Original,1,None,5.21,2272,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
40129,Rebirth,2020,winter,,りばあす,,Sundays at 21:30 (JST),Card game,3,None,5.3,1827,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40758,Hulaing Babies Petit,2020,winter,,フライングベイビーズ☆プチ,,Wednesdays at 07:30 (JST),Original,1,PG-13 - Teens 13 or older,,461,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
40714,Youkai Watch Jam Youkai Gakuen Y - N to no Souguu,2020,winter,,妖怪ウォッチJam 妖怪学園Y Nとの遭遇,,Fridays at 18:25 (JST),Game,,None,,411,0,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
40939,Marumaru Manul,2020,winter,,まるまるマヌル,,Mondays at 00:30 (JST),Digital manga,1,None,,162,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40953,Lalalacoco,2020,winter,,LALALACOCO,,Tuesdays at 07:30 (JST),Other,,None,,41,0,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
41276,Onigiri ni Naritai Cogimyun,2020,winter,,おにぎりになりたい こぎみゅん,,Fridays at 01:25 (JST),Other,1,G - All Ages,,25,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
